Episode,Snake Size
0,2
1,3
2,4
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,2
13,2
14,3
15,3
16,3
17,3
18,3
19,4
20,3
21,2
22,3
23,3
24,4
25,3
26,2
27,3
28,3
29,3
30,2
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,2
39,2
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,4
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,5
56,3
57,3
58,3
59,3
60,3
61,4
62,3
63,3
64,3
65,3
66,5
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,4
76,3
77,3
78,3
79,4
80,3
81,3
82,3
83,3
84,4
85,4
86,3
87,3
88,3
89,3
90,4
91,3
92,3
93,3
94,3
95,3
96,4
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,2
110,6
111,3
112,3
113,4
114,3
115,3
116,3
117,3
118,4
119,3
120,3
121,3
122,4
123,3
124,3
125,3
126,3
127,3
128,4
129,3
130,4
131,3
132,4
133,3
134,3
135,5
136,3
137,3
138,3
139,3
140,2
141,3
142,3
143,4
144,4
145,3
146,3
147,4
148,3
149,3
150,3
151,3
152,6
153,3
154,4
155,3
156,3
157,3
158,3
159,3
160,4
161,3
162,3
163,3
164,3
165,3
166,5
167,3
168,3
169,3
170,2
171,4
172,4
173,7
174,3
175,3
176,3
177,3
178,7
179,6
180,5
181,7
182,4
183,6
184,6
185,7
186,6
187,9
188,4
189,3
190,5
191,9
192,9
193,5
194,4
195,6
196,3
197,3
198,6
199,3
200,3
201,13
202,4
203,4
204,12
205,6
206,3
207,6
208,10
209,5
210,8
211,7
212,6
213,4
214,6
215,7
216,8
217,10
218,11
219,4
220,6
221,5
222,13
223,8
224,9
225,7
226,4
227,11
228,19
229,5
230,15
231,3
232,11
233,5
234,3
235,10
236,7
237,10
238,16
239,20
240,22
241,9
242,16
243,16
244,12
245,9
246,17
247,11
248,12
249,17
250,10
251,9
252,5
253,19
254,4
255,3
256,19
257,6
258,9
259,12
260,4
261,17
262,4
263,4
264,21
265,7
266,13
267,12
268,3
269,16
270,5
271,15
272,19
273,3
274,20
275,7
276,7
277,5
278,11
279,23
280,20
281,8
282,23
283,14
284,8
285,13
286,12
287,6
288,15
289,17
290,23
291,10
292,7
293,7
294,14
295,3
296,20
297,12
298,9
299,7
300,7
301,8
302,3
303,10
304,10
305,7
306,12
307,13
308,5
309,25
310,20
311,12
312,23
313,13
314,19
315,8
316,9
317,12
318,15
319,5
320,4
321,5
322,8
323,11
324,13
325,18
326,17
327,21
328,19
329,4
330,17
331,16
332,11
333,4
334,7
335,12
336,6
337,6
338,6
339,10
340,14
341,10
342,3
343,9
344,23
345,5
346,8
347,18
348,16
349,9
350,10
351,9
352,7
353,16
354,5
355,5
356,3
357,6
358,4
359,8
360,18
361,8
362,3
363,12
364,4
365,17
366,14
367,21
368,18
369,23
370,21
371,13
372,15
373,15
374,19
375,22
376,10
377,8
378,28
379,13
380,16
381,21
382,15
383,7
384,16
385,3
386,15
387,15
388,1
389,13
390,4
391,25
392,17
393,26
394,10
395,16
396,16
397,15
398,29
399,5
400,27
401,3
402,3
403,20
404,19
405,17
406,9
407,15
408,3
409,26
410,14
411,16
412,20
413,8
414,16
415,9
416,12
417,4
418,13
419,7
420,8
421,3
422,5
423,17
424,20
425,21
426,17
427,15
428,31
429,12
430,6
431,6
432,5
433,13
434,9
435,4
436,12
437,12
438,4
439,3
440,30
441,19
442,9
443,15
444,3
445,10
446,3
447,11
448,7
449,3
450,8
451,16
452,14
453,10
454,18
455,4
456,12
457,11
458,19
459,4
460,17
461,22
462,24
463,14
464,20
465,16
466,14
467,14
468,18
469,21
470,19
471,14
472,23
473,12
474,4
475,9
476,8
477,13
478,7
479,4
480,4
481,16
482,7
483,12
484,10
485,15
486,12
487,15
488,15
489,15
490,6
491,16
492,16
493,4
494,4
495,3
496,22
497,9
498,6
499,17
500,16
501,12
502,10
503,10
504,21
505,21
506,4
507,14
508,8
509,11
510,6
511,14
512,6
513,3
514,12
515,20
516,12
517,24
518,18
519,1
520,5
521,4
522,3
523,7
524,7
525,1
526,3
527,6
528,5
529,3
530,3
531,9
532,8
533,4
534,9
535,11
536,4
537,5
538,3
539,14
540,4
541,3
542,4
543,4
544,6
545,5
546,9
547,3
548,5
549,10
550,6
551,19
552,9
553,8
554,2
555,4
556,6
557,6
558,4
559,4
560,3
561,4
562,22
563,21
564,1
565,5
566,19
567,8
568,18
569,21
570,17
571,25
572,13
573,6
574,5
575,4
576,18
577,4
578,3
579,23
580,14
581,12
